MoleculeId,PredictedProbability
1,0.888
2,0.879
3,0.614
4,0.969
5,0.176
6,0.566
7,0.933
8,0.657
9,0.867
10,0.471
11,0.367
12,0.716
13,0.792
14,0.477
15,0.366
16,0.187
17,0.266
18,0.227
19,0.408
20,0.775
21,0.172
22,0.891
23,0.894
24,0.934
25,0.819
26,0.53
27,0.13
28,0.268
29,0.205
30,0.512
31,0.339
32,0.167
33,0.718
34,0.468
35,0.403
36,0.91
37,0.798
38,0.742
39,0.88
40,0.945
41,0.399
42,0.082
43,0.658
44,0.894
45,0.064
46,0.399
47,0.909
48,0.543
49,0.899
50,0.621
51,0.781
52,0.103
53,0.718
54,0.209
55,0.125
56,0.802
57,0.98
58,0.919
59,0.955
60,0.702
61,0.725
62,0.889
63,0.331
64,0.056
65,0.533
66,0.418
67,0.359
68,0.307
69,0.313
70,0.386
71,0.855
72,0.726
73,0.897
74,0.84
75,0.262
76,0.312
77,0.858
78,0.552
79,0.898
80,0.332
81,0.226
82,0.233
83,0.095
84,0.248
85,0.683
86,0.5
87,0.44
88,0.864
89,0.919
90,0.36
91,0.561
92,0.594
93,0.261
94,0.145
95,0.663
96,0.336
97,0.614
98,0.822
99,0.902
100,0.872
101,0.595
102,0.95
103,0.519
104,0.415
105,0.214
106,0.218
107,0.594
108,0.559
109,0.9
110,0.035
111,0.472
112,0.647
113,0.319
114,0.891
115,0.795
116,0.113
117,0.782
118,0.26
119,0.586
120,0.229
121,0.365
122,0.135
123,0.944
124,0.369
125,0.36
126,0.275
127,0.528
128,0.458
129,0.293
130,0.124
131,0.044
132,0.457
133,0.055
134,0.903
135,0.528
136,0.885
137,0.102
138,0.656
139,0.751
140,0.841
141,0.709
142,0.891
143,0.849
144,0.326
145,0.843
146,0.13
147,0.795
148,0.869
149,0.507
150,0.359
151,0.051
152,0.552
153,0.457
154,0.978
155,0.962
156,0.481
157,0.834
158,0.941
159,0.561
160,0.059
161,0.621
162,0.022
163,0.242
164,0.981
165,0.934
166,0.399
167,0.614
168,0.794
169,0.415
170,0.915
171,0.933
172,0.849
173,0.426
174,0.772
175,0.125
176,0.765
177,0.317
178,0.226
179,0.552
180,0.195
181,0.357
182,0.806
183,0.61
184,0.15
185,0.955
186,0.61
187,0.952
188,0.404
189,0.98
190,0.513
191,0.221
192,0.625
193,0.139
194,0.625
195,0.958
196,0.299
197,0.966
198,0.689
199,0.613
200,0.274
201,0.953
202,0.275
203,0.369
204,0.253
205,0.89
206,0.727
207,0.549
208,0.917
209,0.586
210,0.321
211,0.835
212,0.878
213,0.9
214,0.032
215,0.601
216,0.872
217,0.63
218,0.563
219,0.484
220,0.271
221,0.729
222,0.33
223,0.281
224,0.979
225,0.413
226,0.355
227,0.298
228,0.92
229,0.218
230,0.524
231,0.611
232,0.966
233,0.822
234,0.351
235,0.885
236,0.783
237,0.514
238,0.188
239,0.888
240,0.763
241,0.249
242,0.006
243,0.731
244,0.544
245,0.642
246,0.917
247,0.174
248,0.24
249,0.924
250,0.176
251,0.466
252,0.528
253,0.536
254,0.583
255,0.958
256,0.508
257,0.185
258,0.359
259,0.52
260,0.032
261,0.384
262,0.203
263,0.202
264,0.51
265,0.179
266,0.738
267,0.848
268,0.224
269,0.47
270,0.88
271,0.961
272,0.893
273,0.642
274,0.364
275,0.289
276,0.125
277,0.861
278,0.414
279,0.765
280,0.604
281,0.13
282,0.821
283,0.713
284,0.009
285,0.751
286,0.963
287,0.923
288,0.645
289,0.901
290,0.194
291,0.263
292,0.342
293,0.485
294,0.737
295,0.041
296,0.283
297,0.002
298,0.641
299,0.771
300,0.757
301,0.843
302,0.279
303,0.667
304,0.832
305,0.913
306,0.892
307,0.418
308,0.907
309,0.572
310,0.883
311,0.915
312,0.623
313,0.586
314,0.089
315,0.833
316,0.471
317,0.925
318,0.251
319,0.279
320,0.089
321,0.311
322,0.722
323,0.925
324,0.258
325,0.183
326,0.841
327,1.0
328,0.946
329,0.405
330,0.752
331,0.632
332,0.616
333,0.522
334,0.451
335,0.638
336,0.604
337,0.864
338,0.09
339,0.078
340,0.872
341,0.94
342,0.809
343,0.112
344,0.319
345,0.732
346,0.834
347,0.234
348,0.391
349,0.183
350,0.661
351,0.359
352,0.724
353,0.717
354,0.286
355,0.736
356,0.384
357,0.641
358,0.359
359,0.123
360,0.865
361,0.404
362,0.626
363,0.932
364,0.586
365,0.869
366,0.955
367,0.632
368,0.422
369,0.062
370,0.215
371,0.816
372,0.345
373,0.537
374,0.112
375,0.614
376,0.942
377,0.515
378,0.569
379,0.918
380,0.154
381,0.925
382,0.934
383,0.968
384,0.365
385,0.975
386,0.521
387,0.147
388,0.089
389,0.028
390,0.823
391,0.633
392,0.397
393,0.682
394,0.671
395,0.962
396,0.165
397,0.455
398,0.128
399,0.645
400,0.918
401,0.933
402,0.663
403,0.085
404,0.946
405,0.547
406,0.133
407,0.973
408,0.54
409,0.335
410,0.371
411,0.721
412,0.936
413,0.846
414,0.317
415,0.733
416,0.879
417,0.401
418,0.554
419,0.425
420,0.398
421,0.194
422,0.599
423,0.65
424,0.546
425,0.916
426,0.164
427,0.763
428,0.734
429,0.724
430,0.337
431,0.672
432,0.707
433,0.492
434,0.187
435,0.446
436,0.065
437,0.45
438,0.573
439,0.045
440,0.195
441,0.689
442,0.87
443,0.883
444,0.098
445,0.874
446,0.939
447,0.333
448,0.058
449,0.116
450,0.845
451,0.479
452,0.785
453,0.373
454,0.84
455,0.612
456,0.697
457,0.379
458,0.649
459,0.152
460,0.43
461,0.5
462,0.862
463,0.678
464,0.868
465,0.744
466,0.423
467,0.316
468,0.649
469,0.534
470,0.362
471,0.109
472,0.988
473,0.266
474,0.38
475,0.466
476,0.36
477,0.661
478,0.317
479,0.39
480,0.171
481,0.272
482,0.321
483,0.486
484,0.908
485,0.307
486,0.907
487,0.26
